#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Lightweight Frame
Caster Frame
Wave Frame","Arc Conductor
The Perfect Fifth
Wolfpack Rounds","Splash add clear
Sword boss damage","CE, SE",Pale Heart
N/A,,The Hothead,Legendary,Power,,,,Quick Launch,Impact Casing,"Auto-Loading Holster
Demolitionist
Field Prep","Explosive Light
Clown Cartridge
Lasting Impression",Burst splash damage,GMs,Vanguard legacy focusing
N/A,,The Lament,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Ammo efficient burst
Intrinsic Barrier","GMs, missions, Last Wish",Reforging the Past
N/A,,The Militia's Birthright,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,"Slideways
Lead from Gold","Auto-Loading Holster
Frenzy",Blinding enemies,Universal,Vanguard legacy focusing
N/A,,The Supremacy,Legendary,Kinetic,,,,Fluted Barrel,"Appended Mag
Armor-Piercing Rounds","Rewind Rounds
Snapshot Sights
Lead from Gold
Discord","Kinetic Tremors
Bait and Switch
Fourth Time's the Charm","Quick ranged hitscan kills
Augmenting boss damage",Universal,Last Wish
N/A,,Thoughtless,Legendary,Kinetic,,,,Fluted Barrel,Extended Mag,Overflow,Firing Line,Augmenting damage,Universal,Vox Obscura
N/A,,Thunderlord,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Hitscan splash add clear,Universal,World drop
N/A,,Tomorrow's Answer,Legendary,Power,,,,Quick Launch,Impact Casing,Envious Arsenal,"Bait and Switch
Explosive Light",Burst splash damage,Universal,Trials of Osiris
N/A,,Truthteller,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Quickdraw","Blinding enemies
Filling ranged swap rotation",Universal,N/A
N/A,,Tusk of the Boar,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Slideways
Slice","Chain Reaction
Deconstruct",Ammo efficient add clear,Universal,Iron Banner
N/A,,Twilight Oath,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Envious Assassin,Vorpal Weapon,Augmenting damage,Universal,Dreaming City
N/A,,Until Its Return,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,"Overflow
Auto-Loading Holster","Surrounded
Cascade Point",Burst single target damage,Universal,S21 pool
N/A,,Veleda-F,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Air Trigger
Slickdraw",Withering Gaze,Artifact-independent weaken,Universal,World drop
N/A,,VS Chill Inhibitor,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Arsenal
Cascade Point","Bait and Switch
Explosive Light
Surrounded",Non-rocket burst damage,Universal,Vesper's Host
N/A,,Wastelander M5,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,Lead From Gold,"One-Two Punch
Vorpal Weapon","One-two punch
Major burst",Universal,Dares of Eternity
N/A,,Wicked Sister,Legendary,Power,,,,Quick Launch,"Spike Grenades
Mini Frags",Envious Arsenal,Bait and Switch,Non-rocket burst damage,Universal,Vanguard pool
N/A,,Wild Style,Legendary,Energy,,,,Quick Launch,Spike Grenades,Reconstruction,"Bait and Switch
Vorpal Weapon",Filling ranged swap rotation,Universal,Nightfalls
N/A,,Wilderflight,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades","Auto-Loading Holster
Demolitionist","Frenzy
Vorpal Weapon
Lead From Gold","Blinding enemies
Filling ranged swap rotation",Universal,Spire of the Watcher
N/A,,Without Remorse,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Threat Detector
Field Prep","One-Two Punch
Vorpal Weapon","One-two punch
Pellet swapping",Universal,Presage
N/A,,Xenoclast IV,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Lead From Gold
Auto-Loading Holster
Field Prep","One-Two Punch
Vorpal Weapon","One-two punch
Pellet swapping",Universal,Vanguard pool
